FinalID,ReefBuildingSpecies,CommonEnglish,Type,OrbicellaAcropora,BCG Attribute,RedListCategory,DepthRange_m,DepthCategory,LifeHistoryStrategy,Darling etal 2012 Life History Group,origReefBuilding,ReproPattern_Mode,ReproPattern,ReproMode,YearlyGametogenesis,AnnualGametogeneses,SpawningBroodingEvents,SpawningBroodingSeason,GrowthForm,OLD_Morphology,MorphologyIndex,GrowthRate_cm_yr,GrowthRate_code,MeanSize,Susc3stars,SedimentSusceptibility,SedSuscCode,SedBCG_DELETE,BleachingSusceptibility,BleachSuscCode,BleachBCG_DELETE,DiseaseSusceptibility,DiseaseSuscCode,DiseaseBCG_DELETE,PATHOGENICDISEASES,GEOGRAPHICDISTRIBUTION,OBSERVATIONS_COMMENTS
Porites branneri,,Blue crust coral,Scleractinian,,,Near threatened,0 - 5,Shallow,W,,,0,,,?,,?,?,SM-CR,mound,2,?,Slow,Very Small - Small,6,***,HiMod,4,**,LoMod,3,*,Low,01-feb,WPD,Central Caribbean,"Common small crustose, smooth, bluish species found in shalow, exposed habitats of central Caribbean. P. branneri is endemic to Brazil. Under study."
Porites colonensis,,Honeycom plate coral,Scleractinian,,,Data deficient,may-20,Shallow,W,,,? - B,,B,?,,?,?,PL-CR-SM,,1,?,Slow,Small,,***,HiMod,01-feb,*,Low,01-feb,?,,,?,Endemic to south-west Caribbean,"Submassive, and thin plates. Dark brown or olive green  with bright calices"
Porites divaricata,,Thin finger coral,Scleractinian,,5,Least concern,0 - 15,Shallow,W,,,G - B,G,B,?,,?,SP-SU-FA,BR,branching,3,?,Fast,Medium - Very Large,4,*,Low,01-feb,**,LoMod,3,*,Low,1,WPD - OTH,Wider Caribbean except Bermuda,"Short, thin, dichotomous branches, back  and lagoonal reefs and seagrass habtats and sometimes found in front reef slopes. Yellow tan and grey colorations."
Porites furcata,,Branching finger coral,Scleractinian,,4,Least concern,01-dic,Shallow,W,2 - Weedy,,G - B,G,B,02-may,Multi,>2,SP-SU-FA,BR,branching,3,0.9 - 5.3,Fast,Medium - Very Large,4,*,Low,01-feb,**,LoMod,3,*,Low,01-feb,WPD,Wider Caribbean except Bermuda,"Thinner branches than P. porites, dichotomous and long. Back lagoonal habitats and slopes."
Porites nsp.,,Blue crust coral,Scleractinian,,,,0 - 5,Shallow,W,,,0,,,?,,?,?,SM-CR,,,?,Slow,Very Small - Small,6,***,HiMod,4,**,LoMod,3,*,Low,01-feb,WPD,Central Caribbean,"Common small crustose, smooth, bluish species found in shalow, exposed habitats of central Caribbean. P. branneri is endemic to Brazil. Under study."
Porites porites,,Clubtip finger coral ,Scleractinian,,4,Least concern,ene-30,MidDepth,W,2 - Weedy,,G - MP - B,G,B,02-may,Multi,>2,SP-SU-FA,BR,branching,3,0.8 - 3.3,Fast,Medium - Very Large,6,*,Low,01-feb,***,HiMod,04-may,**,LoMod,02-mar,WPD - OTH,Wider Caribbean,"Thick, long or short branches"
Porites spp,,,Scleractinian,,4,,,Shallow,W,,,,,B,,,,,,based on species within genus,2,,,,5,,HiMod,,,LoMod,,,Low,,,,
Porites,,,Scleractinian,,4,,,Shallow,W,,,,,B,,,,,,based on species within genus,2,,,,5,,HiMod,,,LoMod,,,Low,,,,
Pseudodiploria clivosa,X,Knobby brain coral,Scleractinian,,5,,0 - 5,Shallow,S,4 - Stress Tolerant,X,H - S,H,S,1,1,01-feb,SU-FA,CR-SM,brain - domes or encrusting,2,0.3 - 1.0,Slow,Medium - Large,5,*,Low,01-feb,*,Low,2,***,HiMod,02-mar,BBD-WPD-DSD-GAN-OTH-SCTLD,Wider Caribbean ,"Shallow water mostly. Crustose to submassive colonies with irregular, bumpy surface"
Pseudodiploria strigosa,X,Symmetrical brain coral,Scleractinian,,5,,ene-30,MidDepth,S,4 - Stress Tolerant,X,H - S,H,S,1,1,01-feb,SU-FA,BO-MA-CR,brain - plates to domes,2,0.33 - 1.0,Slow,Medium - Large,6,**,LoMod,02-mar,*,Low,2,***,HiMod,02-mar,BBD-WPD-CYBD-DSD-RBD-CCI-GAN-OTH-SCTLD,Wider Caribbean ,"Crustose, platy and hemispherical meandroid colonies. Narrow ridges and eep valleys, no ambulacra."
Scleractinia spp,,,Scleractinian,,,,,,,,,,,,,,,,,general coral form,2,,,,,,,,,,,,,,,,
Scleractinia,,,Scleractinian,,,,,,,,,,,,,,,,,general coral form,2,,,,,,,,,,,,,,,,
Scolymia cubensis,,Solitary disk corals,Scleractinian,,4,Least concern,may-25,MidDepth,W,,,H - B,H,B,1,1,>1,SU-FA,SM-SP,,2,?,Slow,Very Small,4,*,Low,1,**,LoMod,01-feb,*,Low,01-feb,WPD,Wider Caribbean,"Small, single polyps in criptic areas of the reef. Multicolored."
Scolymia lacera,,Solitary disk corals,Scleractinian,,4,Least concern,oct-30,MidDepth,W,,,H - B,H,B,?,,?,?,SM-SP,,2,?,Very slow,Very Small - Small,3,*,Low,1,*,Low,1,*,Low,1,WPD,Wider Caribbean except Bermuda,"Largest, singke polyp species in the Caribbean. Fleshy polyps up to 15-20 cm in diameter. Multiple coloration"
