FinalID,CommonEnglish,BCGAttribute,BCGAttributeFl,RedListCategory,Guild,PiscivoreSize,A,B
Elacatinus dilepis,Orangesided goby,x-MNS,NA,NA,I,NA,NA,NA
Elacatinus evelynae,Sharknose goby,x-MNS,NA,LC,I,NA,NA,NA
Elacatinus horsti,Yellowline goby,x-MNS,NA,LC,NA,NA,NA,NA
Elacatinus macrodon,Tiger goby,x-MNS,NA,NA,NA,NA,NA,NA
Elacatinus UNK,Goby,x-MNS,NA,NA,I,NA,NA,NA
Elacatinus xanthiprora,Yellowprow goby,x-MNS,NA,LC,NA,NA,NA,NA
Elagatis bipinnulata,Rainbow runner,x-MNS,NA,LC,P,SP,0.0135,2.92
Emblemaria pandionis,Sailfin blenny,x-MNS,NA,LC,Z,NA,NA,NA
Emblemaria sp,Tube blenny,x-MNS,NA,NA,Z,NA,NA,NA
Emblemariopsis UNK,Blenny,x-MNS,NA,NA,I,NA,NA,NA
Engraulidae UNK,Anchovies,x-UNK,NA,NA,Z,NA,NA,NA
Enneanectes UNK,Triplefin,x-UNK,NA,NA,H,NA,NA,NA
Eucinostomus gula,Silver jenny,x-MNS,NA,LC,I,NA,0.0144,2.9744
Eucinostomus UNK,Mojarra,x-UNK,NA,NA,I,NA,NA,NA
Euthynnus alletteratus,Little tuny,x-NRF,NA,LC,P,SP,0.0138,3.035
Gobiidae UNK,Goby,x-MNS,NA,NA,I,NA,NA,NA
Gobiosoma grosvenori,Rockcut goby,x-MNS,NA,LC,I,NA,NA,NA
Gymnothorax UNK,Moray eel,x-UNK,NA,NA,P,SP,NA,NA
Haemulon melanurum,Cottonwick,x,NA,LC,I,NA,0.0226,2.953
Haemulon UNK,Grunt,x-UNK,NA,NA,I,NA,NA,NA
Haemulon striatum,Striped grunt,x,NA,LC,Z,NA,0.0175,3.099
Halichoeres burekae,Mardi gras wrasse,x,NA,EN,I,NA,NA,NA
Halichoeres caudalis,Painted wrasse,x,NA,LC,I,NA,NA,NA
Halichoeres cyanocephalus,Yellowcheek wrasse,x,NA,LC,I,NA,NA,NA
Halichoeres poeyi,Blackear wrasse,x,NA,LC,I,NA,0.0146,3.03
Halichoeres UNK,Wrasse,x-UNK,NA,NA,I,NA,NA,NA
Harengula jaguana,Scaled sardine,x-MNS,NA,LC,NA,NA,0.006,3.518
Hemiemblemaria simulas,Wrasse blenny,x-MNS,NA,NA,NA,NA,NA,NA
Hemiramphus brasiliensis,Ballyhoo,x-MNS,NA,LC,NA,NA,0.105,2.356
Heteroconger halis,Brown garden eel,x,NA,NA,Z,NA,NA,NA
Heteroconger longissimus,Brown garden eel,x,NA,LC,Z,NA,NA,NA
Hippocampus UNK,Pipefish,x- MNS,NA,NA,I,NA,NA,NA
Holacanthus bermudensis,Blue angelfish,x-MNS,NA,LC,I,NA,0.0319,2.899
Holocanthus Townsendi,Townsend angelfish,x-MNS,NA,NA,NA,NA,NA,NA
Holacanthus UNK,Angelfish,x-UNK,NA,NA,I,NA,NA,NA
Hypleurochilus bermudensis,Barred blenny,x-MNS,NA,LC,I,NA,0.0123,3.033
Hypoplectrus UNK,Hamlet,x-UNK,NA,NA,I,NA,NA,NA
Jenkinsia UNK,Herring,x-UNK,NA,NA,Z,NA,NA,NA
Labrisomus filamentosus,Quillfin blenny,x-MNS,NA,NA,I,NA,NA,NA
Lagodon rhomboides,Pinfish,x,NA,LC,I,NA,0.0155,3.074
Lonchopisthus micrognathus,Swordtail jawfish,x,NA,LC,Z,NA,NA,NA
Lophogobius cyprinoides,Crested goby,x,NA,LC,I,NA,NA,NA
Lutjanus campechanus,Red snapper,x-NPR,NA,VU,P,SP,0.0176975,3.0075
Lutjanus UNK,Snapper,x-UNK,NA,NA,P,SP,NA,NA
Malacoctenus boehlkei,Diamond blenny,x-MNS,NA,LC,I,NA,NA,NA
Malacoctenus gilli,Dusky blenny,x-MNS,NA,LC,I,NA,NA,NA
Malacoctenus triangulatus,Saddled blenny,x-MNS,NA,LC,I,NA,0.00891,3
Malacoctenus UNK,Scaly blenny,x-MNS,NA,NA,I,NA,NA,NA
Manta birostris,Giant manta,x,NA,NA,Z,NA,NA,NA
Microgobius carri,Seminole goby,x-MNS,NA,LC,Z,NA,NA,NA
Microgobius signatus,Microgobius signatus,x,NA,LC,Z,NA,NA,NA
