FinalID,CommonEnglish,BCGAttribute,BCGAttributeFl,RedListCategory,Guild,PiscivoreSize
Haemulon striatum,Striped grunt,x,NA,LC,Z,NA
Halichoeres burekae,Mardi gras wrasse,x,NA,EN,I,NA
Halichoeres caudalis,Painted wrasse,x,NA,LC,I,NA
Halichoeres cyanocephalus,Yellowcheek wrasse,x,NA,LC,I,NA
Halichoeres poeyi,Blackear wrasse,x,NA,LC,I,NA
Halichoeres UNK,Wrasse,x-UNK,NA,NA,I,NA
Harengula jaguana,Scaled sardine,x-MNS,NA,LC,NA,NA
Hemiemblemaria simulas,Wrasse blenny,x-MNS,NA,NA,NA,NA
Hemiramphus brasiliensis,Ballyhoo,x-MNS,NA,LC,NA,NA
Heteroconger halis,Brown garden eel,x,NA,NA,Z,NA
Heteroconger longissimus,Brown garden eel,x,NA,LC,Z,NA
Hippocampus UNK,Pipefish,x- MNS,NA,NA,I,NA
Holacanthus bermudensis,Blue angelfish,x-MNS,NA,LC,I,NA
Holocanthus Townsendi,Townsend angelfish,x-MNS,NA,NA,NA,NA
Holacanthus UNK,Angelfish,x-UNK,NA,NA,I,NA
Hypleurochilus bermudensis,Barred blenny,x-MNS,NA,LC,I,NA
Hypoplectrus UNK,Hamlet,x-UNK,NA,NA,I,NA
Jenkinsia UNK,Herring,x-UNK,NA,NA,Z,NA
Labrisomus filamentosus,Quillfin blenny,x-MNS,NA,NA,I,NA
Lagodon rhomboides,Pinfish,x,NA,LC,I,NA
Lonchopisthus micrognathus,Swordtail jawfish,x,NA,LC,Z,NA
Lophogobius cyprinoides,Crested goby,x,NA,LC,I,NA
Lutjanus campechanus,Red snapper,x-NPR,NA,VU,P,SP
Lutjanus UNK,Snapper,x-UNK,NA,NA,P,SP
Malacoctenus boehlkei,Diamond blenny,x-MNS,NA,LC,I,NA
Malacoctenus gilli,Dusky blenny,x-MNS,NA,LC,I,NA
Malacoctenus triangulatus,Saddled blenny,x-MNS,NA,LC,I,NA
Malacoctenus UNK,Scaly blenny,x-MNS,NA,NA,I,NA
Manta birostris,Giant manta,x,NA,NA,Z,NA
Microgobius carri,Seminole goby,x-MNS,NA,LC,Z,NA
Microgobius signatus,Microgobius signatus,x,NA,LC,Z,NA
Microgobius UNK,Goby UNK,x-UNK,NA,NA,H,NA
Mullidae UNK,Goatfishes,x-UNK,NA,NA,I,NA
Muraenidae UNK,Moray eel,x-UNK,NA,NA,P,SP
Mycteroperca microlepis,Gag,x-NPR,NA,VU,P,SP
Mycteroperca phenax,Scamp,x-NPR,NA,DD,P,SP
Mycteroperca UNK,Grouper UNK,x-UNK,NA,NA,P,SP
Myrichthys UNK,Snake eel,x-UNK,NA,NA,I,NA
Nes longus,Orangespotted goby,x-MNS,NA,LC,I,NA
Nicholsina usta,Emerald parrotfish,x,NA,LC,H,NA
Ogcocephalus nasutus,Shortnose batfish,x,NA,LC,I,NA
Ophichthidae UNK,Snake eel UNK,x-UNK,NA,NA,P,SP
Opistognathus UNK,Jawfish,x-UNK,NA,NA,Z,NA
Oxyurichthys stigmalophius,Spotfin goby,X-MNS,NA,LC,I,NA
Pareques umbrosus,Cubbyu,x,NA,LC,I,NA
Platybelone argalus,Keeltail needlefish,x-MNS,NA,LC,P,SP
Pomacanthus UNK,Angelfish,x-UNK,NA,NA,I,NA
Ptereleotris calliura,Blue dartfish,x-NPR,NA,LC,NA,NA
Ptereleotris helenae,Hovering dartfish,x,NA,LC,Z,NA
Remora remora,Common remora,x,NA,LC,Z,NA
Rypticus bistrispinus,Freckled soapfish,x,NA,LC,P,SP
Rypticus maculatus,Whitespotted soapfish,x,NA,LC,P,SP
Scartella cristata,Molly miller,x,NA,LC,H,NA
Scarus UNK,Parrotfish,x-UNK,NA,NA,H,NA
Scorpaena UNK,Scorpionfish UNK,x-UNK,NA,NA,I,NA
Scorpaenodes caribbaeus,Reef scorpionfish,x,NA,LC,NA,NA
Serraniculus pumilio,Pygmy sea bass,x,NA,LC,I,NA
Serranus subligarius,Belted sandfish,x,NA,LC,I,NA
Serranus UNK,Seabass UNK,x-UNK,NA,NA,P,SP
Sparisoma UNK,Parrotfish,x-UNK,NA,NA,H,NA
Sphyraena borealis,Northern sennet,x,NA,LC,P,SP
Stephanolepis hispidus,Planehead filefish,x,NA,LC,H,NA
Stephanolepsis setifer,Pygmy filefish,x,NA,NA,H,NA
Stromateidae UNK,Butterfish,x-UNK,NA,NA,P,SP
Syacium UNK,Sand flounder,x-UNK,NA,NA,I,NA
Sygnathus dawsoni,Pipefish,x-MNS,NA,NA,I,NA
Synodus intermedius,Sand diver,x,NA,LC,P,SP
Synodus saurus,Bluestriped lizardfish,x,NA,LC,P,SP
Tigrigobius dilepis,Orangesided goby,x-MNS,NA,LC,I,NA
Trachinocephalus myops,Snakefish,x,NA,LC,Z,NA
Triglidae UNK,Searobin Family UNK,x-UNK,NA,NA,I,NA
Tylosurus crocodilus,Houndfish,x,NA,LC,P,SP
Urobatis jamaicensis,Yellow stingray,x-NPR,NA,LC,NA,NA
Xyrichtys martinicensis,Rosy razorfish,x,NA,LC,I,NA
Xyrichtys novacula,Pearly razorfish,x,NA,LC,I,NA
Xyrichtys UNK,Razorfish,x-UNK,NA,NA,I,NA
Diadema antillarum (adult),Long-spined sea urchin,III,NA,NA,H,NA
Diadema antillarum,Long-spined sea urchin,III,NA,NA,H,NA
Panulirus argus,Caribbean spiny lobster,III,NA,NA,NA,NA
Panulirus guttatus,Spotted spiny lobster,III,NA,NA,NA,NA
