FinalID,ReefBuildingSpecies,CommonEnglish,Type,OrbicellaAcropora,BCG Attribute,RedListCategory,DepthRange_m,DepthCategory,LifeHistoryStrategy,Darling etal 2012 Life History Group,origReefBuilding,ReproPattern_Mode,ReproPattern,ReproMode,YearlyGametogenesis,AnnualGametogeneses,SpawningBroodingEvents,SpawningBroodingSeason,GrowthForm,OLD_Morphology,MorphologyIndex,GrowthRate_cm_yr,GrowthRate_code,MeanSize,Susc3stars,SedimentSusceptibility,SedSuscCode,SedBCG_DELETE,BleachingSusceptibility,BleachSuscCode,BleachBCG_DELETE,DiseaseSusceptibility,DiseaseSuscCode,DiseaseBCG_DELETE,PATHOGENICDISEASES,GEOGRAPHICDISTRIBUTION,OBSERVATIONS_COMMENTS
Agaricia lamarcki,,Whitestar sheet coral,Scleractinian,,3,Vulnerable,Oct-80,Broad,W,2 - Weedy,,G - B,G,B,1,1,>1,SU-FA,PL-CR,plate,1,0.4 - 0.6,Slow,Large - Very large,10,****,High,5,****,High,5,**,LoMod,2-Mar,WPD - RBD - OTH,Wider Caribbean except Bermuda,"Wide depth distribution, from 10 to 70 m depth"
Agaricia spp,,,Scleractinian,,,,,Broad,W,2 - Weedy,,,,B,1,1,,,,based on species within genus,1,,Slow,,10,,High,,,High,,,LoMod,,,,
Agaricia tenuifolia,,Thin leaf lettuce coral,Scleractinian,,,Near threatened,0 - 20,Shallow,W,2 - Weedy,,? - B,,B,1,1,>1,SP-SU-FA,FO-BL,,3,0.8,Slow,Medium - Large,7,**,LoMod,2-Mar,****,High,5,*,Low,1-Feb,WPD - CCI,Central and Western Caribbean,"One of 3 bifacial agaricids. Thin corallum forn large wide and vertical colonies that can monopolize extensive habitats. Most common in north-central, south central and western Caribbean."
Agaricia undata,,Scroll plate coral,Scleractinian,,,Data deficient,20 - 80?,Deep,W,,,? - B,,B,1,1,?,?,PL-CR,,,?,?,Large - Very large,8,****,High,5,***,HiMod,4-May,*,Low,1-Feb,WPD - OTH,Wider Caribbean except Bermuda,Mesophotic species
Agelas citrina,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agelas clathrodes,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agelas conifera,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agelas dispar,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agelas sceptrum,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agelas spp.,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agelas sventres,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiolochroia crassa,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliger gigas,,Queen conch,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphimedon caribica,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphimedon compressa,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone spp.,,Anemone,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antillogorgia acerosa,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antillogorgia americana,,Gorgonians,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplysina archeri,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplysina cauliformis,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplysina fistularis,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplysina fulva,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplysina insularis,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Articulate coralline algae,,CCA,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Articulate coralline algae (mixed),,CCA,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascidian spp.,,Ascidian,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagopsis taxiformis,,Red sea plume,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare substrate,,,Bare_TurfWSed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biemna caribea,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briareum asbestinum,,Corky sea finger,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callyspongia plicifera,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callyspongia vaginalis,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caulerpa spp.,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cca,,CCA,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cca (total),,CCA,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrilla caribensis,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinachyrella kuekenthali,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladocora arbuscula,,Tube coral,Scleractinian,,4,Least concern,20-Mar,Shallow,C,,,H - S,H,S,1,1,1-Feb,SU-FA,BR,,2,?,?,Small - Medium,4,*,Low,1-Jan,**,LoMod,3-Jan,*,Low,1-Jan,WPD,Wider Caribbean except Bermuda,"Short branching polyps, associated with soft bottoms and seagrasses"
Clathria spp.,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliona,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliona caribbaea,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliona delitrix,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliona spp,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliothosa delitrix,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelocarteria bartschi,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colpophyllia amaranthus,,Brain coral,Scleractinian,,,Least concern,20-May,Shallow,S,,,H - S,H,S,1,1,1-Feb,SU-FA?,BO-MA-CR,,,0.3 - 1.1,Slow,Medium - Large,9,***,HiMod,3,***,HiMod,4-Jan,***,HiMod,4,BBD - WPD - RBD- OTH - SCTLD,Wider Caribbean except Bermuda ??,Probably restricted distribution. Common in north and southern Caribbean
Colpophyllia breviserialis,,Brain coral,Scleractinian,,,,20-May,Shallow,S,,,H - S,H,S,1,1,1-Feb,SU-FA,BO-MA-CR,,,?,Slow,Medium - Large,10,***,HiMod,3,***,HiMod,03-abr,****,High,4-May,BBD - RBD - WPD - DSD - CCI - SCTLD,Wider Caribbean except Bermuda,Needs taxonomic verification (genetic).Low abundances and mixed morphology colonies with C.natans type common.
Colpophyllia natans,X,Boulder brain coral,Scleractinian,,3,Least concern,ene-25,MidDepth,S,4 - Stress Tolerant,X,H - S,H,S,1,1,1-Feb,SU-FA,BO-MA-CR,brain - domes or encrusting plates,2,0.3 - 1.1,Slow,Medium - Large,10,***,HiMod,3-Jan,***,HiMod,03-abr,****,High,4-May,BBD - WPD - DSD -RBD - GAN - CCI - SCTLD,Wider Caribbean except Bermuda,Large boulder and crustose coralla
Cribrochalina vasculum,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria,,Cyanobacteria,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria (total),,Cyanobacteria,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanophyta,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanophyta spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrogyra cylindrus,X,Pillar coral,Scleractinian,,3,Vulnerable,ene-20,Shallow,G,1 - Competitive,X,G - S,G,S,1,1,1,SU,CO-CR,"branching, encrusting base with cylindrical pillars up to 2m height",3,0.5 - 1.8,Slow,Large - Very large,6,*,Low,1-Feb,**,LoMod,3,***,HiMod,4-May,WPD - CYBD - BBD - GAN - OTH - SCTLD,Wider Caribbean except Panama and Bermuda,Threatened species.
Desmapsamma anchorata,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmapsamma spp.,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diadema antillarum,,Spiny urchin,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diadema antillarum ascensionis,,Spiny urchin,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dichocoenia stellaris,,Uniserial elliptical,Scleractinian,,,Data deficient,23-Oct,Shallow,G,,,? - B,,B,>1,,?,SU-FA,SM-CR,,,0.2,Very Slow,Medium,8,**,LoMod,2-Mar,***,HiMod,03-abr,***,HiMod,4,WPD - BBD,Wider Caribbean,Needs Taxonomic verification
Dichocoenia stokesii,,Elliptical star coral,Scleractinian,,4,Vulnerable,20-May,Shallow,G,4 - Stress Tolerant,,G - S,G,S,1,1,1-Feb,SU-FA,SM-CR,"massive, spherical, mound to encrusting",2,0.2,Very Slow,Medium,9,**,LoMod,2-Mar,***,HiMod,03-abr,****,High,4-May,BBD - WPD - SCTLD,Wider Caribbean,Small to mediun sized (40cm) colonies with elongated calices and wide coenosteum. Typically orange-yellow or pale.
Dictyonella funicularis,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyota,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyota spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyota spp.,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploria,X,,Scleractinian,,,,,MidDepth,S,4 - Stress Tolerant,,H - S,H,S,1,1,1-Feb,SU-FA,BO-MA-CR,based on species within genus,2,0.3 - 0.75,Slow,Medium - Large,9,,LoMod,,,HiMod,,,High,,,,
Diploria labyrinthiformis,X,Grooved brain coral,Scleractinian,,3,Least concern,25-Mar,MidDepth,S,4 - Stress Tolerant,,H - S,H,S,1,1,1-Feb,SU-FA,BO-MA-CR,brain - hemisphere,2,0.3 - 0.75,Slow,Medium - Large,9,**,LoMod,2-Mar,***,HiMod,03-abr,****,High,4-May,BBD-WPD-CYBD-RBD-CCI-GAN-OTH-SCTLD,Wider Caribbean,"Mostly round hemispherical colonies with wide ridges and ambulacra, and deep narrow valleys. Mostly orange-yellow"
Diploria spp,X,,Scleractinian,,,,,MidDepth,S,4 - Stress Tolerant,,H - S,H,S,1,1,1-Feb,SU-FA,BO-MA-CR,based on species within genus,2,0.3 - 0.75,Slow,Medium - Large,9,,LoMod,,,HiMod,,,High,,,,
Ectyoplasia ferox,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encrusting gorgonian,,encrusting gorgonian,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythropodium caribaeorum,,encrusting gorgonian,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eudistoma spp.,,Eudistoma,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eunicea flexuosa,,Gorgonians,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eunicea pallida,,Gorgonians,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eunicea spp.,,Gorgonian,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
